"Notes"	"Cause of death"	"Cause of death Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Other and unspecified"	"369.9"	"1974"	"1974"	1	213436958	0.0 (Unreliable)
	"Other and unspecified"	"369.9"	"1975"	"1975"	0	0	0.0 (Unreliable)
	"Other and unspecified"	"369.9"	"1976"	"1976"	0	0	0.0 (Unreliable)
	"Other and unspecified"	"369.9"	"1977"	"1977"	0	0	0.0 (Unreliable)
	"Other and unspecified"	"369.9"	"1978"	"1978"	2	222102279	0.0 (Unreliable)
"Total"	"Other and unspecified"	"369.9"			5	2320363006	0.0 (Unreliable)
	"Myopia"	"370.0"	"1968"	"1968"	0	0	0.0 (Unreliable)
	"Myopia"	"370.0"	"1969"	"1969"	0	0	0.0 (Unreliable)
	"Myopia"	"370.0"	"1970"	"1970"	0	0	0.0 (Unreliable)
	"Myopia"	"370.0"	"1971"	"1971"	0	0	0.0 (Unreliable)
	"Myopia"	"370.0"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"Myopia"	"370.0"	"1973"	"1973"	0	0	0.0 (Unreliable)
	"Myopia"	"370.0"	"1974"	"1974"	0	0	0.0 (Unreliable)
	"Myopia"	"370.0"	"1975"	"1975"	0	0	0.0 (Unreliable)
	"Myopia"	"370.0"	"1976"	"1976"	0	0	0.0 (Unreliable)
	"Myopia"	"370.0"	"1977"	"1977"	0	0	0.0 (Unreliable)
	"Myopia"	"370.0"	"1978"	"1978"	0	0	0.0 (Unreliable)
"Total"	"Myopia"	"370.0"			0	2320363006	0.0 (Unreliable)
	"Hyperopia"	"370.1"	"1968"	"1968"	0	0	0.0 (Unreliable)
	"Hyperopia"	"370.1"	"1969"	"1969"	0	0	0.0 (Unreliable)
	"Hyperopia"	"370.1"	"1970"	"1970"	0	0	0.0 (Unreliable)
	"Hyperopia"	"370.1"	"1971"	"1971"	0	0	0.0 (Unreliable)
	"Hyperopia"	"370.1"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"Hyperopia"	"370.1"	"1973"	"1973"	0	0	0.0 (Unreliable)
	"Hyperopia"	"370.1"	"1974"	"1974"	0	0	0.0 (Unreliable)
	"Hyperopia"	"370.1"	"1975"	"1975"	0	0	0.0 (Unreliable)
	"Hyperopia"	"370.1"	"1976"	"1976"	0	0	0.0 (Unreliable)
	"Hyperopia"	"370.1"	"1977"	"1977"	0	0	0.0 (Unreliable)
	"Hyperopia"	"370.1"	"1978"	"1978"	0	0	0.0 (Unreliable)
"Total"	"Hyperopia"	"370.1"			0	2320363006	0.0 (Unreliable)
	"Presbyopia"	"370.2"	"1968"	"1968"	0	0	0.0 (Unreliable)
	"Presbyopia"	"370.2"	"1969"	"1969"	0	0	0.0 (Unreliable)
	"Presbyopia"	"370.2"	"1970"	"1970"	0	0	0.0 (Unreliable)
	"Presbyopia"	"370.2"	"1971"	"1971"	0	0	0.0 (Unreliable)
	"Presbyopia"	"370.2"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"Presbyopia"	"370.2"	"1973"	"1973"	0	0	0.0 (Unreliable)
	"Presbyopia"	"370.2"	"1974"	"1974"	0	0	0.0 (Unreliable)
	"Presbyopia"	"370.2"	"1975"	"1975"	0	0	0.0 (Unreliable)
	"Presbyopia"	"370.2"	"1976"	"1976"	0	0	0.0 (Unreliable)
	"Presbyopia"	"370.2"	"1977"	"1977"	0	0	0.0 (Unreliable)
	"Presbyopia"	"370.2"	"1978"	"1978"	0	0	0.0 (Unreliable)
"Total"	"Presbyopia"	"370.2"			0	2320363006	0.0 (Unreliable)
	"Astigmatism"	"370.3"	"1968"	"1968"	0	0	0.0 (Unreliable)
	"Astigmatism"	"370.3"	"1969"	"1969"	0	0	0.0 (Unreliable)
	"Astigmatism"	"370.3"	"1970"	"1970"	0	0	0.0 (Unreliable)
	"Astigmatism"	"370.3"	"1971"	"1971"	0	0	0.0 (Unreliable)
	"Astigmatism"	"370.3"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"Astigmatism"	"370.3"	"1973"	"1973"	0	0	0.0 (Unreliable)
	"Astigmatism"	"370.3"	"1974"	"1974"	0	0	0.0 (Unreliable)
	"Astigmatism"	"370.3"	"1975"	"1975"	0	0	0.0 (Unreliable)
	"Astigmatism"	"370.3"	"1976"	"1976"	0	0	0.0 (Unreliable)
	"Astigmatism"	"370.3"	"1977"	"1977"	0	0	0.0 (Unreliable)
	"Astigmatism"	"370.3"	"1978"	"1978"	0	0	0.0 (Unreliable)
"Total"	"Astigmatism"	"370.3"			0	2320363006	0.0 (Unreliable)
	"Other and unspecified"	"370.9"	"1968"	"1968"	1	199533564	0.0 (Unreliable)
	"Other and unspecified"	"370.9"	"1969"	"1969"	0	0	0.0 (Unreliable)
	"Other and unspecified"	"370.9"	"1970"	"1970"	0	0	0.0 (Unreliable)
	"Other and unspecified"	"370.9"	"1971"	"1971"	0	0	0.0 (Unreliable)
	"Other and unspecified"	"370.9"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"Other and unspecified"	"370.9"	"1973"	"1973"	0	0	0.0 (Unreliable)
	"Other and unspecified"	"370.9"	"1974"	"1974"	1	213436958	0.0 (Unreliable)
	"Other and unspecified"	"370.9"	"1975"	"1975"	0	0	0.0 (Unreliable)
	"Other and unspecified"	"370.9"	"1976"	"1976"	0	0	0.0 (Unreliable)
	"Other and unspecified"	"370.9"	"1977"	"1977"	0	0	0.0 (Unreliable)
	"Other and unspecified"	"370.9"	"1978"	"1978"	0	0	0.0 (Unreliable)
"Total"	"Other and unspecified"	"370.9"			2	2320363006	0.0 (Unreliable)
	"Postoperative"	"371.0"	"1968"	"1968"	0	0	0.0 (Unreliable)
	"Postoperative"	"371.0"	"1969"	"1969"	0	0	0.0 (Unreliable)
	"Postoperative"	"371.0"	"1970"	"1970"	0	0	0.0 (Unreliable)
	"Postoperative"	"371.0"	"1971"	"1971"	0	0	0.0 (Unreliable)
	"Postoperative"	"371.0"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"Postoperative"	"371.0"	"1973"	"1973"	0	0	0.0 (Unreliable)
	"Postoperative"	"371.0"	"1974"	"1974"	0	0	0.0 (Unreliable)
	"Postoperative"	"371.0"	"1975"	"1975"	0	0	0.0 (Unreliable)
	"Postoperative"	"371.0"	"1976"	"1976"	0	0	0.0 (Unreliable)
	"Postoperative"	"371.0"	"1977"	"1977"	0	0	0.0 (Unreliable)
	"Postoperative"	"371.0"	"1978"	"1978"	0	0	0.0 (Unreliable)
"Total"	"Postoperative"	"371.0"			0	2320363006	0.0 (Unreliable)
	"Other and unspecified"	"371.9"	"1968"	"1968"	0	0	0.0 (Unreliable)
	"Other and unspecified"	"371.9"	"1969"	"1969"	0	0	0.0 (Unreliable)
	"Other and unspecified"	"371.9"	"1970"	"1970"	0	0	0.0 (Unreliable)
	"Other and unspecified"	"371.9"	"1971"	"1971"	0	0	0.0 (Unreliable)
	"Other and unspecified"	"371.9"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"Other and unspecified"	"371.9"	"1973"	"1973"	0	0	0.0 (Unreliable)
	"Other and unspecified"	"371.9"	"1974"	"1974"	1	213436958	0.0 (Unreliable)
	"Other and unspecified"	"371.9"	"1975"	"1975"	0	0	0.0 (Unreliable)
	"Other and unspecified"	"371.9"	"1976"	"1976"	0	0	0.0 (Unreliable)
	"Other and unspecified"	"371.9"	"1977"	"1977"	0	0	0.0 (Unreliable)
	"Other and unspecified"	"371.9"	"1978"	"1978"	1	222102279	0.0 (Unreliable)
"Total"	"Other and unspecified"	"371.9"			2	2320363006	0.0 (Unreliable)
	"Pterygium"	"372"	"1968"	"1968"	0	0	0.0 (Unreliable)
	"Pterygium"	"372"	"1969"	"1969"	0	0	0.0 (Unreliable)
	"Pterygium"	"372"	"1970"	"1970"	0	0	0.0 (Unreliable)
	"Pterygium"	"372"	"1971"	"1971"	0	0	0.0 (Unreliable)
	"Pterygium"	"372"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"Pterygium"	"372"	"1973"	"1973"	0	0	0.0 (Unreliable)
	"Pterygium"	"372"	"1974"	"1974"	0	0	0.0 (Unreliable)
	"Pterygium"	"372"	"1975"	"1975"	1	215457198	0.0 (Unreliable)
	"Pterygium"	"372"	"1976"	"1976"	0	0	0.0 (Unreliable)
	"Pterygium"	"372"	"1977"	"1977"	0	0	0.0 (Unreliable)
	"Pterygium"	"372"	"1978"	"1978"	0	0	0.0 (Unreliable)
"Total"	"Pterygium"	"372"			1	2320363006	0.0 (Unreliable)
	"Esotropia"	"373.0"	"1968"	"1968"	1	199533564	0.0 (Unreliable)
	"Esotropia"	"373.0"	"1969"	"1969"	0	0	0.0 (Unreliable)
	"Esotropia"	"373.0"	"1970"	"1970"	0	0	0.0 (Unreliable)
	"Esotropia"	"373.0"	"1971"	"1971"	2	206782970	0.0 (Unreliable)
	"Esotropia"	"373.0"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"Esotropia"	"373.0"	"1973"	"1973"	2	211361965	0.0 (Unreliable)
	"Esotropia"	"373.0"	"1974"	"1974"	1	213436958	0.0 (Unreliable)
	"Esotropia"	"373.0"	"1975"	"1975"	0	0	0.0 (Unreliable)
	"Esotropia"	"373.0"	"1976"	"1976"	0	0	0.0 (Unreliable)
	"Esotropia"	"373.0"	"1977"	"1977"	0	0	0.0 (Unreliable)
	"Esotropia"	"373.0"	"1978"	"1978"	0	0	0.0 (Unreliable)
"Total"	"Esotropia"	"373.0"			6	2320363006	0.0 (Unreliable)
	"Exotropia"	"373.1"	"1968"	"1968"	1	199533564	0.0 (Unreliable)
	"Exotropia"	"373.1"	"1969"	"1969"	1	201568206	0.0 (Unreliable)
	"Exotropia"	"373.1"	"1970"	"1970"	0	0	0.0 (Unreliable)
	"Exotropia"	"373.1"	"1971"	"1971"	4	206782970	0.0 (Unreliable)
	"Exotropia"	"373.1"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"Exotropia"	"373.1"	"1973"	"1973"	1	211361965	0.0 (Unreliable)
	"Exotropia"	"373.1"	"1974"	"1974"	0	0	0.0 (Unreliable)
	"Exotropia"	"373.1"	"1975"	"1975"	0	0	0.0 (Unreliable)
	"Exotropia"	"373.1"	"1976"	"1976"	0	0	0.0 (Unreliable)
	"Exotropia"	"373.1"	"1977"	"1977"	0	0	0.0 (Unreliable)
	"Exotropia"	"373.1"	"1978"	"1978"	0	0	0.0 (Unreliable)
"Total"	"Exotropia"	"373.1"			7	2320363006	0.0 (Unreliable)
	"Hypertropia"	"373.2"	"1968"	"1968"	0	0	0.0 (Unreliable)
	"Hypertropia"	"373.2"	"1969"	"1969"	0	0	0.0 (Unreliable)
	"Hypertropia"	"373.2"	"1970"	"1970"	0	0	0.0 (Unreliable)
	"Hypertropia"	"373.2"	"1971"	"1971"	0	0	0.0 (Unreliable)
	"Hypertropia"	"373.2"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"Hypertropia"	"373.2"	"1973"	"1973"	0	0	0.0 (Unreliable)
	"Hypertropia"	"373.2"	"1974"	"1974"	0	0	0.0 (Unreliable)
	"Hypertropia"	"373.2"	"1975"	"1975"	0	0	0.0 (Unreliable)
	"Hypertropia"	"373.2"	"1976"	"1976"	0	0	0.0 (Unreliable)
	"Hypertropia"	"373.2"	"1977"	"1977"	0	0	0.0 (Unreliable)
	"Hypertropia"	"373.2"	"1978"	"1978"	0	0	0.0 (Unreliable)
"Total"	"Hypertropia"	"373.2"			0	2320363006	0.0 (Unreliable)
	"Other and unspecified"	"373.9"	"1968"	"1968"	1	199533564	0.0 (Unreliable)
	"Other and unspecified"	"373.9"	"1969"	"1969"	3	201568206	0.0 (Unreliable)
	"Other and unspecified"	"373.9"	"1970"	"1970"	3	203458035	0.0 (Unreliable)
	"Other and unspecified"	"373.9"	"1971"	"1971"	1	206782970	0.0 (Unreliable)
	"Other and unspecified"	"373.9"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"Other and unspecified"	"373.9"	"1973"	"1973"	3	211361965	0.0 (Unreliable)
	"Other and unspecified"	"373.9"	"1974"	"1974"	4	213436958	0.0 (Unreliable)
	"Other and unspecified"	"373.9"	"1975"	"1975"	3	215457198	0.0 (Unreliable)
	"Other and unspecified"	"373.9"	"1976"	"1976"	2	217615788	0.0 (Unreliable)
	"Other and unspecified"	"373.9"	"1977"	"1977"	7	219808632	0.0 (Unreliable)
	"Other and unspecified"	"373.9"	"1978"	"1978"	2	222102279	0.0 (Unreliable)
"Total"	"Other and unspecified"	"373.9"			29	2320363006	0.0
	"Traumatic"	"374.0"	"1968"	"1968"	0	0	0.0 (Unreliable)
	"Traumatic"	"374.0"	"1969"	"1969"	0	0	0.0 (Unreliable)
	"Traumatic"	"374.0"	"1970"	"1970"	0	0	0.0 (Unreliable)
	"Traumatic"	"374.0"	"1971"	"1971"	1	206782970	0.0 (Unreliable)
	"Traumatic"	"374.0"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"Traumatic"	"374.0"	"1973"	"1973"	0	0	0.0 (Unreliable)
	"Traumatic"	"374.0"	"1974"	"1974"	0	0	0.0 (Unreliable)
	"Traumatic"	"374.0"	"1975"	"1975"	0	0	0.0 (Unreliable)
	"Traumatic"	"374.0"	"1976"	"1976"	0	0	0.0 (Unreliable)
	"Traumatic"	"374.0"	"1977"	"1977"	0	0	0.0 (Unreliable)
	"Traumatic"	"374.0"	"1978"	"1978"	0	0	0.0 (Unreliable)
"Total"	"Traumatic"	"374.0"			1	2320363006	0.0 (Unreliable)
	"Secondary"	"374.1"	"1968"	"1968"	0	0	0.0 (Unreliable)
	"Secondary"	"374.1"	"1969"	"1969"	0	0	0.0 (Unreliable)
	"Secondary"	"374.1"	"1970"	"1970"	0	0	0.0 (Unreliable)
	"Secondary"	"374.1"	"1971"	"1971"	0	0	0.0 (Unreliable)
	"Secondary"	"374.1"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"Secondary"	"374.1"	"1973"	"1973"	0	0	0.0 (Unreliable)
	"Secondary"	"374.1"	"1974"	"1974"	0	0	0.0 (Unreliable)
	"Secondary"	"374.1"	"1975"	"1975"	0	0	0.0 (Unreliable)
	"Secondary"	"374.1"	"1976"	"1976"	1	217615788	0.0 (Unreliable)
	"Secondary"	"374.1"	"1977"	"1977"	0	0	0.0 (Unreliable)
	"Secondary"	"374.1"	"1978"	"1978"	0	0	0.0 (Unreliable)
"Total"	"Secondary"	"374.1"			1	2320363006	0.0 (Unreliable)
	"Other specified type, excluding senile"	"374.8"	"1968"	"1968"	0	0	0.0 (Unreliable)
	"Other specified type, excluding senile"	"374.8"	"1969"	"1969"	0	0	0.0 (Unreliable)
	"Other specified type, excluding senile"	"374.8"	"1970"	"1970"	0	0	0.0 (Unreliable)
	"Other specified type, excluding senile"	"374.8"	"1971"	"1971"	0	0	0.0 (Unreliable)
	"Other specified type, excluding senile"	"374.8"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"Other specified type, excluding senile"	"374.8"	"1973"	"1973"	0	0	0.0 (Unreliable)
	"Other specified type, excluding senile"	"374.8"	"1974"	"1974"	0	0	0.0 (Unreliable)
	"Other specified type, excluding senile"	"374.8"	"1975"	"1975"	0	0	0.0 (Unreliable)
	"Other specified type, excluding senile"	"374.8"	"1976"	"1976"	0	0	0.0 (Unreliable)
	"Other specified type, excluding senile"	"374.8"	"1977"	"1977"	0	0	0.0 (Unreliable)
	"Other specified type, excluding senile"	"374.8"	"1978"	"1978"	0	0	0.0 (Unreliable)
"Total"	"Other specified type, excluding senile"	"374.8"			0	2320363006	0.0 (Unreliable)
	"Senile and unspecified type"	"374.9"	"1968"	"1968"	48	199533564	0.0
	"Senile and unspecified type"	"374.9"	"1969"	"1969"	43	201568206	0.0
	"Senile and unspecified type"	"374.9"	"1970"	"1970"	35	203458035	0.0
	"Senile and unspecified type"	"374.9"	"1971"	"1971"	37	206782970	0.0
	"Senile and unspecified type"	"374.9"	"1972"	"1972"	60	209237411	0.0
	"Senile and unspecified type"	"374.9"	"1973"	"1973"	40	211361965	0.0
	"Senile and unspecified type"	"374.9"	"1974"	"1974"	42	213436958	0.0
	"Senile and unspecified type"	"374.9"	"1975"	"1975"	35	215457198	0.0
	"Senile and unspecified type"	"374.9"	"1976"	"1976"	31	217615788	0.0
	"Senile and unspecified type"	"374.9"	"1977"	"1977"	26	219808632	0.0
	"Senile and unspecified type"	"374.9"	"1978"	"1978"	29	222102279	0.0
"Total"	"Senile and unspecified type"	"374.9"			426	2320363006	0.0
	"Primary, acute"	"375.0"	"1968"	"1968"	1	199533564	0.0 (Unreliable)
	"Primary, acute"	"375.0"	"1969"	"1969"	0	0	0.0 (Unreliable)
	"Primary, acute"	"375.0"	"1970"	"1970"	0	0	0.0 (Unreliable)
	"Primary, acute"	"375.0"	"1971"	"1971"	1	206782970	0.0 (Unreliable)
	"Primary, acute"	"375.0"	"1972"	"1972"	2	209237411	0.0 (Unreliable)
	"Primary, acute"	"375.0"	"1973"	"1973"	1	211361965	0.0 (Unreliable)
	"Primary, acute"	"375.0"	"1974"	"1974"	1	213436958	0.0 (Unreliable)
	"Primary, acute"	"375.0"	"1975"	"1975"	0	0	0.0 (Unreliable)
	"Primary, acute"	"375.0"	"1976"	"1976"	1	217615788	0.0 (Unreliable)
	"Primary, acute"	"375.0"	"1977"	"1977"	1	219808632	0.0 (Unreliable)
	"Primary, acute"	"375.0"	"1978"	"1978"	0	0	0.0 (Unreliable)
"Total"	"Primary, acute"	"375.0"			8	2320363006	0.0 (Unreliable)
	"Chronic (primary)"	"375.1"	"1968"	"1968"	1	199533564	0.0 (Unreliable)
	"Chronic (primary)"	"375.1"	"1969"	"1969"	1	201568206	0.0 (Unreliable)
	"Chronic (primary)"	"375.1"	"1970"	"1970"	1	203458035	0.0 (Unreliable)
	"Chronic (primary)"	"375.1"	"1971"	"1971"	0	0	0.0 (Unreliable)
	"Chronic (primary)"	"375.1"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"Chronic (primary)"	"375.1"	"1973"	"1973"	0	0	0.0 (Unreliable)
	"Chronic (primary)"	"375.1"	"1974"	"1974"	0	0	0.0 (Unreliable)
	"Chronic (primary)"	"375.1"	"1975"	"1975"	0	0	0.0 (Unreliable)
	"Chronic (primary)"	"375.1"	"1976"	"1976"	0	0	0.0 (Unreliable)
	"Chronic (primary)"	"375.1"	"1977"	"1977"	0	0	0.0 (Unreliable)
	"Chronic (primary)"	"375.1"	"1978"	"1978"	0	0	0.0 (Unreliable)
"Total"	"Chronic (primary)"	"375.1"			3	2320363006	0.0 (Unreliable)
	"Secondary"	"375.2"	"1968"	"1968"	0	0	0.0 (Unreliable)
	"Secondary"	"375.2"	"1969"	"1969"	0	0	0.0 (Unreliable)
	"Secondary"	"375.2"	"1970"	"1970"	0	0	0.0 (Unreliable)
	"Secondary"	"375.2"	"1971"	"1971"	0	0	0.0 (Unreliable)
	"Secondary"	"375.2"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"Secondary"	"375.2"	"1973"	"1973"	0	0	0.0 (Unreliable)
	"Secondary"	"375.2"	"1974"	"1974"	0	0	0.0 (Unreliable)
	"Secondary"	"375.2"	"1975"	"1975"	0	0	0.0 (Unreliable)
	"Secondary"	"375.2"	"1976"	"1976"	0	0	0.0 (Unreliable)
	"Secondary"	"375.2"	"1977"	"1977"	0	0	0.0 (Unreliable)
	"Secondary"	"375.2"	"1978"	"1978"	0	0	0.0 (Unreliable)
"Total"	"Secondary"	"375.2"			0	2320363006	0.0 (Unreliable)
	"Unspecified"	"375.9"	"1968"	"1968"	6	199533564	0.0 (Unreliable)
	"Unspecified"	"375.9"	"1969"	"1969"	8	201568206	0.0 (Unreliable)
	"Unspecified"	"375.9"	"1970"	"1970"	5	203458035	0.0 (Unreliable)
	"Unspecified"	"375.9"	"1971"	"1971"	2	206782970	0.0 (Unreliable)
	"Unspecified"	"375.9"	"1972"	"1972"	2	209237411	0.0 (Unreliable)
	"Unspecified"	"375.9"	"1973"	"1973"	2	211361965	0.0 (Unreliable)
	"Unspecified"	"375.9"	"1974"	"1974"	9	213436958	0.0 (Unreliable)
	"Unspecified"	"375.9"	"1975"	"1975"	6	215457198	0.0 (Unreliable)
	"Unspecified"	"375.9"	"1976"	"1976"	5	217615788	0.0 (Unreliable)
	"Unspecified"	"375.9"	"1977"	"1977"	8	219808632	0.0 (Unreliable)
	"Unspecified"	"375.9"	"1978"	"1978"	2	222102279	0.0 (Unreliable)
"Total"	"Unspecified"	"375.9"			55	2320363006	0.0
	"Detachment of retina"	"376"	"1968"	"1968"	2	199533564	0.0 (Unreliable)
	"Detachment of retina"	"376"	"1969"	"1969"	3	201568206	0.0 (Unreliable)
	"Detachment of retina"	"376"	"1970"	"1970"	5	203458035	0.0 (Unreliable)
	"Detachment of retina"	"376"	"1971"	"1971"	2	206782970	0.0 (Unreliable)
	"Detachment of retina"	"376"	"1972"	"1972"	2	209237411	0.0 (Unreliable)
	"Detachment of retina"	"376"	"1973"	"1973"	4	211361965	0.0 (Unreliable)
	"Detachment of retina"	"376"	"1974"	"1974"	2	213436958	0.0 (Unreliable)
	"Detachment of retina"	"376"	"1975"	"1975"	3	215457198	0.0 (Unreliable)
	"Detachment of retina"	"376"	"1976"	"1976"	4	217615788	0.0 (Unreliable)
	"Detachment of retina"	"376"	"1977"	"1977"	2	219808632	0.0 (Unreliable)
	"Detachment of retina"	"376"	"1978"	"1978"	0	0	0.0 (Unreliable)
"Total"	"Detachment of retina"	"376"			29	2320363006	0.0
	"Vascular lesions of retina"	"377.0"	"1968"	"1968"	0	0	0.0 (Unreliable)
	"Vascular lesions of retina"	"377.0"	"1969"	"1969"	1	201568206	0.0 (Unreliable)
	"Vascular lesions of retina"	"377.0"	"1970"	"1970"	1	203458035	0.0 (Unreliable)
	"Vascular lesions of retina"	"377.0"	"1971"	"1971"	0	0	0.0 (Unreliable)
	"Vascular lesions of retina"	"377.0"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"Vascular lesions of retina"	"377.0"	"1973"	"1973"	0	0	0.0 (Unreliable)
	"Vascular lesions of retina"	"377.0"	"1974"	"1974"	1	213436958	0.0 (Unreliable)
	"Vascular lesions of retina"	"377.0"	"1975"	"1975"	2	215457198	0.0 (Unreliable)
	"Vascular lesions of retina"	"377.0"	"1976"	"1976"	0	0	0.0 (Unreliable)
	"Vascular lesions of retina"	"377.0"	"1977"	"1977"	1	219808632	0.0 (Unreliable)
	"Vascular lesions of retina"	"377.0"	"1978"	"1978"	1	222102279	0.0 (Unreliable)
"Total"	"Vascular lesions of retina"	"377.0"			7	2320363006	0.0 (Unreliable)
	"Degeneration of retina"	"377.1"	"1968"	"1968"	0	0	0.0 (Unreliable)
	"Degeneration of retina"	"377.1"	"1969"	"1969"	0	0	0.0 (Unreliable)
	"Degeneration of retina"	"377.1"	"1970"	"1970"	0	0	0.0 (Unreliable)
	"Degeneration of retina"	"377.1"	"1971"	"1971"	1	206782970	0.0 (Unreliable)
	"Degeneration of retina"	"377.1"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"Degeneration of retina"	"377.1"	"1973"	"1973"	0	0	0.0 (Unreliable)
	"Degeneration of retina"	"377.1"	"1974"	"1974"	0	0	0.0 (Unreliable)
	"Degeneration of retina"	"377.1"	"1975"	"1975"	1	215457198	0.0 (Unreliable)
	"Degeneration of retina"	"377.1"	"1976"	"1976"	0	0	0.0 (Unreliable)
	"Degeneration of retina"	"377.1"	"1977"	"1977"	1	219808632	0.0 (Unreliable)
	"Degeneration of retina"	"377.1"	"1978"	"1978"	0	0	0.0 (Unreliable)
"Total"	"Degeneration of retina"	"377.1"			3	2320363006	0.0 (Unreliable)
	"Amblyopia"	"377.2"	"1968"	"1968"	1	199533564	0.0 (Unreliable)
	"Amblyopia"	"377.2"	"1969"	"1969"	0	0	0.0 (Unreliable)
	"Amblyopia"	"377.2"	"1970"	"1970"	0	0	0.0 (Unreliable)
	"Amblyopia"	"377.2"	"1971"	"1971"	0	0	0.0 (Unreliable)
	"Amblyopia"	"377.2"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"Amblyopia"	"377.2"	"1973"	"1973"	0	0	0.0 (Unreliable)
	"Amblyopia"	"377.2"	"1974"	"1974"	1	213436958	0.0 (Unreliable)
	"Amblyopia"	"377.2"	"1975"	"1975"	0	0	0.0 (Unreliable)
	"Amblyopia"	"377.2"	"1976"	"1976"	0	0	0.0 (Unreliable)
	"Amblyopia"	"377.2"	"1977"	"1977"	0	0	0.0 (Unreliable)
	"Amblyopia"	"377.2"	"1978"	"1978"	0	0	0.0 (Unreliable)
"Total"	"Amblyopia"	"377.2"			2	2320363006	0.0 (Unreliable)
	"Color blindness"	"377.3"	"1968"	"1968"	0	0	0.0 (Unreliable)
	"Color blindness"	"377.3"	"1969"	"1969"	0	0	0.0 (Unreliable)
	"Color blindness"	"377.3"	"1970"	"1970"	0	0	0.0 (Unreliable)
	"Color blindness"	"377.3"	"1971"	"1971"	0	0	0.0 (Unreliable)
	"Color blindness"	"377.3"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"Color blindness"	"377.3"	"1973"	"1973"	0	0	0.0 (Unreliable)
	"Color blindness"	"377.3"	"1974"	"1974"	0	0	0.0 (Unreliable)
	"Color blindness"	"377.3"	"1975"	"1975"	0	0	0.0 (Unreliable)
	"Color blindness"	"377.3"	"1976"	"1976"	0	0	0.0 (Unreliable)
	"Color blindness"	"377.3"	"1977"	"1977"	0	0	0.0 (Unreliable)
	"Color blindness"	"377.3"	"1978"	"1978"	0	0	0.0 (Unreliable)
"Total"	"Color blindness"	"377.3"			0	2320363006	0.0 (Unreliable)
	"Other diseases of retina"	"377.4"	"1968"	"1968"	0	0	0.0 (Unreliable)
	"Other diseases of retina"	"377.4"	"1969"	"1969"	0	0	0.0 (Unreliable)
	"Other diseases of retina"	"377.4"	"1970"	"1970"	0	0	0.0 (Unreliable)
	"Other diseases of retina"	"377.4"	"1971"	"1971"	1	206782970	0.0 (Unreliable)
	"Other diseases of retina"	"377.4"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"Other diseases of retina"	"377.4"	"1973"	"1973"	0	0	0.0 (Unreliable)
	"Other diseases of retina"	"377.4"	"1974"	"1974"	2	213436958	0.0 (Unreliable)
	"Other diseases of retina"	"377.4"	"1975"	"1975"	2	215457198	0.0 (Unreliable)
	"Other diseases of retina"	"377.4"	"1976"	"1976"	0	0	0.0 (Unreliable)
	"Other diseases of retina"	"377.4"	"1977"	"1977"	1	219808632	0.0 (Unreliable)
	"Other diseases of retina"	"377.4"	"1978"	"1978"	0	0	0.0 (Unreliable)
"Total"	"Other diseases of retina"	"377.4"			6	2320363006	0.0 (Unreliable)
	"Papillendema"	"377.5"	"1968"	"1968"	0	0	0.0 (Unreliable)
	"Papillendema"	"377.5"	"1969"	"1969"	0	0	0.0 (Unreliable)
	"Papillendema"	"377.5"	"1970"	"1970"	0	0	0.0 (Unreliable)
	"Papillendema"	"377.5"	"1971"	"1971"	0	0	0.0 (Unreliable)
	"Papillendema"	"377.5"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"Papillendema"	"377.5"	"1973"	"1973"	0	0	0.0 (Unreliable)
	"Papillendema"	"377.5"	"1974"	"1974"	0	0	0.0 (Unreliable)
	"Papillendema"	"377.5"	"1975"	"1975"	0	0	0.0 (Unreliable)
	"Papillendema"	"377.5"	"1976"	"1976"	0	0	0.0 (Unreliable)
	"Papillendema"	"377.5"	"1977"	"1977"	0	0	0.0 (Unreliable)
	"Papillendema"	"377.5"	"1978"	"1978"	0	0	0.0 (Unreliable)
"Total"	"Papillendema"	"377.5"			0	2320363006	0.0 (Unreliable)
	"Other diseases of optic nerve"	"377.6"	"1968"	"1968"	0	0	0.0 (Unreliable)
